commune_id,percorso
84,Chiesa di s. maria di loreto
84,Chiesa di s. maria di costantinopoli
84,Torre dell'orologio
84,Mausoleo delle carceri vecchie
84,Fornace del vi secolo a.c
84,Tempio di giove tifatino
85,Reale tenuta di carditello
85,Chiesa di san tammaro vescovo
86,Cappella di sant'antonio abate
86,Chiesa di santa maria di porta paradiso
86,Chiesa di santa maria della valle
86,Chiesa della santissima annunziata
86,Chiesa di san bartolome
86,Palazzo principi windisch graetz
86,Il criptoportico
86,Grotta di san michele arcangelo
86,Rupe canina
87,Palazzo ducale dei sanchez de luna d'aragona
87,Edicola votiva della madonna della lettera
87,Palazzo zarrillo
87,Palazzo magliola
87,Palazzo magliola
87,Romitorio di san caneone
87,Chiesa di sant'elpidio vescovo
87,Chiesa di san francesco di paola
87,Cappella della maddalena
88,L’arco “nascosto” dell’anfiteatro campano
88,Essere turisti nella propria terra
89,Turismo lento: alla scoperta delle colline caiatine
89,Profeti: un borgo che diventa presepe vivente
90,Basilica maria ss. assunta in cielo
90,Cappella madonna delle grazie
90,Piazza dante
91,Cattedrale dei santi pietro e paolo (1183)
91,Chiesa di santo stefano (xiii-xiv secolo)
91,Chiesa di san giovanni a piazza (xiv-xviii secolo)
91,Chiesa e convento di san germano (xiii-xviii secolo)
91,Chiesa disant'agostino (xv secolo)
91,Chiesa di san giovanni a villa (xiii-xviii secolo)
91,Chiesa di san benedetto
91,Chiesa di san michele
91,Chiesa di santa lucia
91,Chiesa del santissimo rifugio
91,Chiesa di san carlo borromeo
91,Castello ducale
91,Convitto nazionale agostino nifo
91,Fontana dell'ercole
91,Centrale elettronucleare garigliano
91,Scavi di suessa
91,Teatro romano di suessa
91,Criptoportico
91,Parco regionale di roccamonfina-foce garigliano
92,Monastero benedettino di san vincenzo in volturno
93,Chiesa della trasfigurazione
93,Chiesa di san sossio
93,Museo archeologico dell'agro atellano
93,Cappella della madonna dell'oglio
93,Chiesa maria santissima atellana
94,Ex chiesa di san benedetto
94,Chiesa di santa maria de intus
94,Monastero femminile di santa reparata
94,Convento del santuario di sant'antonio
94,Monastero di santa caterina
94,Chiesa di santa maria la nova
94,Chiesa di san francesco
94,Ex chiesa dell'annunziata
94,Chiesa di sant'antonio abate
94,Ex chiesa di san pietro in aquariis
94,Ruderi monastero santa maria de foris x
94,Chiesa di san michele ex san marco xviii secolo
94,Chiesa di santa maria celestina xvi secolo
94,Chiesa di sant'agostino xiv secolo
94,Chiesa di santa maria delle grazie o san cosma e damiano a porta napoletana
94,Palazzo caracciolo de gemmis
94,Parco regionale di roccamonfina-foce garigliano
95,Monumento in memoria della seconda guerra mondiale
96,Torre medievale
96,Chiesa di san giovanni apostolo
96,Sito paleontologico chiamato ciampate del diavolo
96,Chiesa di san simeone
96,Convento di sant'antonio
97,La chiesa settecentesca di san michele arcangelo
97,La chiesa di san giorgio a ducenta
97,Palazzo marchesale
97,Palazzo marchesale folgori
97,Monumento ai caduti della ii guerra mondiale
97,Cappella madonna delle grazie
98,Castello aragonese
98,Mura cittadine
98,Abbazia della ferrara
98,Abbazia della ferrara
98,Chiesa della madonna di loreto
98,Convento di sant'agostino
98,Chiesa di san tommaso
98,Chiesa di san giovanni
98,Chiesa di sant'orsola
98,Ponte delle frattelle
98,Ex chiesa di santa maria a fratta
98,La fontana delle quattro cannelle
99,Torre pandone
99,Chiesa di san sebastiano
99,Chiesa della santa croce
100,Acquedotto carolino
100,Monumento ossario ai caduti garibaldini
100,Castello
100,Chiesa di san pietro apostolo
100,Chiesa della santissima annunziata
100,Chiesa di santa maria delle grazie
100,Chiesa di san rocco
100,Chiesa di san pancrazio
101,Chiesa di santa maria assunta
101,Cappella di santa maria del pantano
101,Complesso nostra signora di lourdes
101,Riserva naturale della zona umida delle soglitelle
101,Statua di giuseppe garibaldi
101,Via castello
102,Chiesa maria santissima assunta in cielo
102,Santuario maria santissima di briano
103,Chiesa santa maria dell'agnena
103,Palazzo dei conti capece galeota
103,Villa rotondo
103,Casino di caccia dei borbone
103,Piazza riccardo ii
103,Piazza papa giovanni xxiii
103,Piazza vitulatini nel mondo
