commune_id,frazioni
95,Acerno
95,Calabritto
95,Campagna
95,Oliveto citra
95,Valva
96,San giuseppe
96,San biagio
96,Strada
96,Grimaldi
96,San sossio
96,Troiani
96,Guanni
96,Casancino
96,Ribottoli
96,San gaetano
96,Fontanelle
96,Orano
96,Sala
96,Doganavecchia
96,Raiano
96,San giacomo
96,Ponte
96,Ferrari
96,Cretazzo
96,Pescarole
96,Stazione
96,Canale
96,Toppole e ogliara
97,
98,Sant'agata irpina
98,Sant'andrea apostolo
99,
100,
101,Pantanelle-montana torone crocevie-costantino filette tesoro amendola ficuciello serrapreta sterpato lenze della corte-serradenzita
102,Embriciera starze
103,
104,
105,
106,Acquara
106,Pianomarotta
106,San vito
106,Montanaldo
106,Ss. giovanni e paolo
106,Cedolena
106,Lenze
106,Cerri
106,Serrone
107,Case sparse
107,Felette
107,Fontana d'agli
107,Grifi
107,Madonna delle grazie
107,San iuliano
107,San mercurio
108,Bosco
108,Campore
108,Guardie
109,Lungarella
109,Caprareccia
109,Farullo
109,Molini
109,Santa lucia
109,San vito
109,Vecito
109,Bassano
110,San paolo
110,Santa lucia
110,Branete
111,Sferracavallo
112,Serra d'annunzio
112,San giuseppe
112,Mattine
112,Cotugno
112,Vasoria
112,Guardiola
113,Campanarello
113,Calore
113,Castel del lago
114,Mazzarella
114,Santa caterina
114,Sotto le coste
115,Piani
115,Viscose
116,Tavernole
117,Taverna
117,Casette
