commune_id,codice_postal,superficie,latitude,longitude
0,84042,72.5,40.73829,15.059341
1,84043,32.61,40.350425694151205,14.99063268659256
2,84044,40.23,40.48482263327232,15.11680144537662
3,84040,4.82,40.18386859343606,15.426559209646149
4,84045,52.0,40.5549290854156,15.123244703051324
5,84011,5.0,40.649256444083726,14.604027204556605
6,84012,14.0,40.78710859362658,14.587832430018215
7,84020,32.73,40.45642517737841,15.249688616294907
8,84046,37.0,40.16174430210916,15.180993106161754
9,84030,25.0,40.497498660072985,15.548542063111286
10,84010,0.12,40.69146569084401,14.605401015463253
11,84031,35.68,40.568893795441504,15.42554564859017
12,84081,17.93,40.76582747075896,14.7728173519992
13,84091,56.85,40.630591177280365,14.976096287338477
14,84092,8.02,40.63041439922528,14.947698378434778
15,84020,16.75,40.42913744499487,15.316242313254808
16,84082,14.41,40.85692814407573,14.702203486519858
17,84021,65.92,40.70179525063016,15.36602055457475
18,84032,15.54,40.341438150024906,15.636752141103532
19,84030,35.43,40.57040745410698,15.499755926800464
20,84080,14.91,40.78535241490285,14.8276200318813
21,84040,70.58,40.03561950549615,15.375868911910404
22,84022,135.0,40.67255125048781,15.108503615580316
23,84040,29.0,40.31133391274524,15.292670409722133
24,84040,17.0,40.24803287255276,15.298128839503576
25,84047,112.0,40.432580085486826,15.07867304188922
26,84040,31.71,40.19498019383228,15.11134645921635
27,84030,34.82,40.22118248386703,15.68423296058002
28,84030,70.0,40.15605681803533,15.627214297320048
29,84030,44.0,40.17784271915391,15.543102137985532
30,84083,13.0,40.78876113913883,14.706513979035776
31,84049,14.0,40.42701699962333,15.232222082783547
32,84020,57.64,40.56670872254221,15.277438247061276
33,84048,36.0,40.30060467057951,14.957944610866615
34,84040,18.6,40.2196012142733,15.176758162365829
35,84020,13.98,40.824668258428574,15.31980022788048
36,84090,10.41,40.72561964392662,14.844040721654894
37,84013,36.53,40.757885655784186,14.710207674674953
38,84040,31.0,40.10211667774585,15.399458209080796
39,84051,47.75,40.07623180645173,15.31268889932143
40,84052,46.46,40.195293,15.25735
41,84011,4.97,40.647251,14.703168
42,84053,41.37,40.34127,15.137777
43,84020,55.16,40.724708,15.292641
44,84010,1.13,40.618987,14.574168
45,84020,7.75,40.510536,15.204582
46,84024,28.93,40.65015,15.240089
47,84010,6.66,40.722148,14.591889
48,84020,58.0,40.436476,15.380656
49,84050,17.0,40.162499,15.306742
50,84025,137.58,40.615396,15.054934
51,84055,41.53,40.770434,14.798938
52,84084,31.23,40.770434,14.798938
53,84010,1.7,40.618671,14.553566
54,84050,14.85,40.748599,14.881684
55,84090,35.08,40.740198,14.896768
56,84095,88.61,40.740198,14.896768
57,84056,27.99,40.288747,15.217645
58,84050,11.7,40.390131,15.086552
59,84050,8.3,40.087296,15.55861
60,84050,13.74,40.300058,15.038385
61,84057,70.46,40.337389,15.336022
62,84050,20.22,40.167823,15.407119
63,84020,55.68,40.786337,15.30771
64,84050,15.24,40.288886,15.067327
65,84050,23.3,40.347669,15.236056
66,84010,16.42,40.648589,14.646823
67,84085,30.33,40.79569194237964,14.71876003048105
68,84010,2.66,40.659561,14.6297
69,84060,17.19,40.246719,15.269015
70,84060,33.44,40.162854,15.359502
71,84030,51.69,40.341883,15.541381
72,84060,22.25,40.234149,14.98434
73,84090,28.72,40.678787,14.945091
74,84096,42.16,40.69584846496582,14.97563409866416
75,84060,22.17,40.36394300417296,15.194443842502816
76,84033,110.22,40.27484893798828,15.702534199372169
77,84030,21.19,40.13940811157227,15.554876446876731
78,84014,20.95,40.74614524841309,14.635658741608497
79,84015,14.66,40.74254035949707,14.665699482575292
80,84060,34.71,40.22360801696777,15.278755724430084
81,84061,13.24,40.35325527191163,15.040987282991413
82,84062,26.72,40.63911437988281,14.984257221221924
83,84020,31.62,40.69104194641113,15.230690538883213
84,84060,10.1,40.24884223937988,15.083748400211334
85,84060,26.55,40.30016899108887,15.172325670719149
86,84020,53.61,40.46273231506348,15.316692888736725
87,84034,67.12,40.337419509887695,15.65263420343399
88,84016,11.98,40.746488571167,14.613396227359774
89,84020,28.3,40.6629753112793,15.291321873664856
90,84080,14.04,40.72477340698242,14.745782017707825
91,84060,74.42,40.268669128417976,15.017763376235962
92,84060,24.0,40.30128479003907,15.144932270050049
